#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 9.414649999999998367e-05 -9.238121296296294700e-05 2.727869444444444241e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.217499995370370470e-03 -6.294964629629628931e-04 3.084938703703703016e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 2.324992861111110920e-03 -8.141120833333332632e-04 5.881096203703702714e-04
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.670631541666666102e-03 6.778392777777775182e-04 8.694599351851850944e-04
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 5.162899583333333334e-03 4.236453814814814846e-03 1.077337870370370220e-03
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 6.202522324074073376e-03 8.918649444444443769e-03 1.276787064814814687e-03
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 4.295058574074073036e-03 1.262013731018518312e-02 2.021777629629629459e-03
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.425489722222220378e-04 1.401164739814814500e-02 2.059841134259259281e-03
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.679235643518518367e-03 1.284541659259259144e-02 1.132679884259259065e-03
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.036300093518518345e-02 8.631090513888887289e-03 1.449692703703703203e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.037279421296296265e-02 4.744845837962962179e-03 3.796430708333332470e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.708153546296295233e-03 1.768242708333332908e-03 6.165382740740739213e-03
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.030010481481480264e-03 -8.753405694444443483e-04 5.505353842592591342e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.734479505555555287e-02 -5.122542685185183658e-03 3.206142245370369789e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.501642892129628953e-02 -1.133055972222221999e-02 1.002359518518518462e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 4.408968796296292014e-04 -9.399753629629628224e-03 -1.158182902777777669e-03
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.065217607870370259e-02 -5.665814763888887828e-03 -1.229122972222222243e-03
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 8.430501787037036204e-03 -3.663588689814814819e-03 7.947838935185183671e-04
1.800000000000000000e+01 3.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.198351624999999535e-03 -3.334243643518517743e-03 4.081134060185185111e-03
1.900000000000000000e+01 3.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -5.487395037037035711e-03 -2.589150648148147698e-03 7.530288134259257790e-03
2.000000000000000000e+01 3.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.221791434722221958e-02 5.835290416666663767e-04 9.900626662037035480e-03
2.100000000000000000e+01 3.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.606941793055555179e-02 4.746270310185185179e-03 1.038932231481481429e-02
2.200000000000000000e+01 4.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.626393805555555183e-02 7.060205666666665401e-03 9.428513384259259306e-03
2.300000000000000000e+01 4.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.375152580092592336e-02 6.283123657407406124e-03 8.142933032407406388e-03
