#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.187785833333333314e-04 -1.233558333333333154e-04 5.269567592592592386e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.093402643518518466e-03 -1.081471435185185062e-03 5.397560833333332492e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.241230157407407293e-03 -2.061945162037036490e-03 1.090142240740740384e-03
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -3.560825074074073365e-03 -2.660762560185184807e-03 1.839204027777777573e-03
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -4.473611796296295129e-03 -2.119741166666666652e-03 2.714919120370369587e-03
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -5.146109518518517459e-03 4.063497824074073310e-04 3.682251203703703311e-03
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.867806944444444284e-03 5.167354254629628885e-03 5.100035472222220687e-03
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.052864156944444303e-02 9.005236064814814770e-03 5.303338921296295652e-03
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.095578204166666562e-02 7.520907870370369813e-03 3.550178972222221754e-03
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.025050842129629491e-02 1.672732907407407151e-03 2.180221393518518534e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.057010335648147885e-02 -7.304652962962963295e-04 1.454170504629629388e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.217736952777777673e-02 3.754740944444443125e-03 5.012557685185182847e-04
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.480269956944444201e-02 1.044748842592592430e-02 -1.456470550925925613e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.898937054629629487e-02 1.584494253703703365e-02 -3.119937587962962316e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.754274951388888615e-02 1.984789189814814558e-02 -3.703762481481480753e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -9.686465287037034771e-03 2.108146842592592204e-02 -3.205851337962962750e-03
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -5.291483499999998473e-03 1.917551943981481155e-02 -2.549447962962962666e-03
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.263948222222221963e-03 1.513715121296296123e-02 -2.492346583333332911e-03
1.800000000000000000e+01 3.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.647518055555552764e-04 1.023249087499999814e-02 -3.322971425925925256e-03
1.900000000000000000e+01 3.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.613453694444443746e-03 4.479194907407406737e-03 -4.568516092592592344e-03
2.000000000000000000e+01 3.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 4.447759657407407072e-03 -6.463892222222221038e-04 -5.629484884259258401e-03
2.100000000000000000e+01 3.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 4.547738740740740401e-03 -1.777277504629629383e-03 -5.889269092592592375e-03
2.200000000000000000e+01 4.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.567931342592592371e-03 1.591894282407407086e-03 -4.646248754629629142e-03
2.300000000000000000e+01 4.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.393559833333333272e-03 3.123661226851851339e-03 -2.725090037037036523e-03
2.400000000000000000e+01 4.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.954171583333332386e-03 2.586634773148147916e-03 -1.326203805555555611e-03
2.500000000000000000e+01 4.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.892148981481480925e-03 1.410349416666666425e-03 -6.412777962962962555e-04
2.600000000000000000e+01 4.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.369929999999999672e-03 2.999681759259259116e-04 -1.140452129629629754e-04
2.700000000000000000e+01 5.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.082139814814814357e-04 1.550219444444444767e-05 -6.774074074074073293e-07
2.800000000000000000e+01 -2.324620116999999819e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.337960509259259292e-04 -2.783654999999999355e-04 1.037433796296295977e-04
2.900000000000000000e+01 -3.246201169999998193e-01 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.194533624999999485e-03 -2.832398250000000162e-03 1.208680370370370178e-03
3.000000000000000000e+01 1.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.589079148148147644e-03 -5.696124486111110025e-03 2.522155120370369805e-03
3.100000000000000000e+01 3.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -7.666283754629628182e-03 -8.173032416666664926e-03 4.401330138888888410e-03
3.200000000000000000e+01 5.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.137441652314814464e-02 -8.226616069444444082e-03 6.828274925925924103e-03
