#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.780418148148147804e-04 -2.899569259259258979e-04 4.093649074074073711e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.419252212962962990e-03 -2.728027199074073688e-03 3.106944953703703514e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.213493624999999208e-03 -5.061355685185184652e-03 5.059189629629627909e-04
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.418955518518518659e-03 -6.948882300925924779e-03 3.409603287037036483e-04
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 1.522772842592592197e-03 -7.555138722222220701e-03 -2.630187499999999388e-04
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 5.012471513888887287e-03 -6.147315365740741062e-03 -9.915550879629627355e-04
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 4.566951912037035821e-03 -3.480671643518518273e-03 -1.089871009259258793e-03
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.266641754629629434e-03 -4.732871064814813712e-04 -4.597260138888887735e-04
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.110307037037036287e-03 1.503262939814814514e-03 -1.380413888888896122e-05
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.305533800925926056e-03 1.446913791666666442e-03 -1.186637384259259329e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.727944703703703323e-03 4.239498444444443452e-03 -3.346689152777777322e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.044999439814813594e-03 7.790882592592601567e-04 -5.136660148148147753e-03
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.248828537037036064e-03 -7.555266499999999455e-03 -5.973876273148147689e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.255977770370370061e-02 -9.602811791666665542e-03 -4.990506351851851929e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.234916162962962534e-02 -1.066941552777777615e-02 -2.624767328703703217e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -3.176048101851850197e-03 -5.985137888888888459e-03 -6.513870509259254938e-04
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.053614634259258422e-03 3.303702699074073310e-03 3.054099212962961725e-04
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.767330268518517650e-03 7.974835703703702511e-03 6.846102824074075648e-04
1.800000000000000000e+01 3.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.620337546296294132e-04 3.905695925925924301e-03 1.087654351851851655e-03
1.900000000000000000e+01 3.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -3.563957504629629292e-03 -3.883338027777777542e-03 2.146819351851851371e-03
2.000000000000000000e+01 3.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.251433685185185316e-03 -9.187751851851850421e-03 3.719673907407407189e-03
2.100000000000000000e+01 3.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.599188634259257738e-03 -9.531997601851849994e-03 5.642696287037035630e-03
2.200000000000000000e+01 4.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.210098236111108838e-03 -6.486427060185184432e-03 7.261514384259258256e-03
2.300000000000000000e+01 4.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.916263087962962186e-03 -3.616975018518518020e-03 7.060033615740739926e-03
2.400000000000000000e+01 4.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -4.446322078703703225e-03 -1.902329046296296136e-03 5.318748569444442867e-03
2.500000000000000000e+01 4.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.779287902777777070e-03 -1.096533916666666414e-03 2.885586217592592262e-03
2.600000000000000000e+01 4.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.876114722222221984e-04 -1.473097870370370321e-04 4.000051666666665684e-04
2.700000000000000000e+01 5.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.190747777777777624e-04 1.507939814814814738e-05 -2.580627777777777266e-05
2.800000000000000000e+01 -2.324620116999999819e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 1.084791111111110915e-04 -6.126075231481481042e-04 6.846944907407408101e-05
2.900000000000000000e+01 -3.246201169999998193e-01 -8.568300780000002170e-01 -2.250000000000000000e+00 -8.881964722222222136e-04 -6.522386638888887783e-03 7.384093796296295822e-04
3.000000000000000000e+01 1.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.757382620370369916e-03 -1.274802310648148057e-02 1.455570828703703530e-03
3.100000000000000000e+01 3.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.855720356481481013e-03 -1.900982638888888687e-02 1.934202541666666698e-03
3.200000000000000000e+01 5.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.256512347222222756e-03 -2.198728528240740179e-02 1.735095370370370090e-03
3.300000000000000000e+01 7.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 7.401999773148145584e-03 -1.642992937499999917e-02 5.488980277777778284e-04
3.400000000000000000e+01 9.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 5.764140620370368853e-03 -6.267080754629629144e-03 3.122551203703705699e-04
3.500000000000000000e+01 1.167537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 4.459856250000001385e-04 1.883000740740738838e-04 2.365851972222222412e-03
3.600000000000000000e+01 1.367537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.504374171296296104e-03 -9.270433935185187768e-04 4.975911166666666108e-03
3.700000000000000000e+01 1.567537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.139403324074073336e-03 -1.928657787037039127e-03 3.647885694444442939e-03
3.800000000000000000e+01 1.767537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.574204351851851591e-03 1.749044653240740960e-02 4.280795972222220264e-04
3.900000000000000000e+01 1.967537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -8.541361782407407011e-03 1.236008793055555846e-02 -2.204852717592592319e-03
4.000000000000000000e+01 2.167537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.202538053703703508e-02 -1.048141662962962656e-02 -6.844435879629628960e-03
4.100000000000000000e+01 2.367537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.206312570833331543e-02 -2.266078740740739075e-03 -8.377739245370370222e-03
4.200000000000000000e+01 2.567537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.210200928240739882e-02 -6.165250018518517172e-03 -5.796760472222222023e-03
4.300000000000000000e+01 2.767537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -3.847043564814776190e-04 -8.724161842592590560e-03 -2.620693222222221421e-03
4.400000000000000000e+01 2.967537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.505981442129629075e-02 7.208662314814818974e-04 -3.147035138888879847e-04
4.500000000000000000e+01 3.167537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.682630679166666546e-02 7.492030462962962455e-03 8.940048796296298783e-04
4.600000000000000000e+01 3.367537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.056270642592592457e-02 2.783894703703703247e-03 8.154609212962966869e-04
4.700000000000000000e+01 3.567537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.166919037037036835e-03 -6.290610009259259457e-03 1.145704564814814270e-03
4.800000000000000000e+01 3.767537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -3.522158374999998995e-03 -1.195232264351851759e-02 9.265460277777775710e-04
4.900000000000000000e+01 3.967537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.611807620370369502e-03 -1.143889837499999750e-02 2.669840949074074252e-03
5.000000000000000000e+01 4.167537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.831256712962962850e-03 -6.678116319444442686e-03 8.366774212962960200e-03
