#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -9.797709259259258362e-05 1.239403888888888472e-04 -7.248546296296295034e-06
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 -5.172999537037036109e-04 1.610827041666666433e-03 -1.958199490740740402e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.131014537037036867e-03 3.354424629629628764e-03 -5.313291851851850928e-04
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.279129310185185227e-03 5.753620425925923959e-03 -1.509397430555555180e-03
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -4.243945259259258862e-03 8.572497745370369696e-03 -3.170676597222222073e-03
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.855564532407406111e-03 1.133770114814814690e-02 -5.098829277777777377e-03
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.348043888888887279e-03 1.447844369907407350e-02 -6.892781611111110235e-03
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -9.104029717592590845e-03 1.688102431018518104e-02 -6.889154569444442752e-03
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.755664703703701868e-03 1.486688618518518072e-02 -3.960886467592592518e-03
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.639483949074073431e-03 5.804173472222220673e-03 -2.545512175925926488e-04
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.428953814814814333e-03 -3.833337638888888003e-03 8.981330000000000693e-04
