#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.036567777777777512e-04 2.665229166666666658e-04 -1.782005555555555334e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.808166671296295835e-03 2.324595231481481165e-03 5.399601388888888886e-05
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.196698148148147817e-03 4.428995509259258702e-03 3.683589722222221615e-04
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.592211527777777313e-03 6.820854624999999130e-03 1.327304305555555538e-03
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 2.154800462962961922e-03 9.060072199074073809e-03 3.080602513888888901e-03
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 5.181467592592619437e-05 9.961949694444442380e-03 5.414291412037035463e-03
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 1.163434907407407543e-03 8.007231273148146533e-03 7.866663939814813947e-03
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.187578055555555321e-03 5.460912004629629203e-03 9.128358907407405770e-03
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 4.135200365740740111e-03 2.911330879629629720e-03 8.499176046296295570e-03
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.070232120370369917e-03 -1.565916250000000181e-03 6.951953680555553183e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.077859777777777752e-03 -4.820083268518518364e-03 5.438545296296295149e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.503968967592593492e-03 2.375428194444444228e-03 2.703188425925925203e-03
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.801368051851851698e-02 2.447636324537036737e-02 -2.663811393518518422e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.555744883796295594e-02 4.606940146296295557e-02 -6.549004837962961803e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.874758604629629177e-02 5.329409381944444357e-02 -6.457869731481481052e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.697314581944443984e-02 4.191311024999998941e-02 -3.164229245370370029e-03
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.470863814814814458e-02 1.962904927314814557e-02 9.383412453703701608e-04
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.343064232870369773e-02 1.233450499999999605e-03 5.010005379629628615e-03
1.800000000000000000e+01 3.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.266817226388888329e-02 -6.094163263888887835e-03 8.521017648148145052e-03
1.900000000000000000e+01 3.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.142022365740740494e-02 -5.725075828703702491e-03 1.100555229166666482e-02
2.000000000000000000e+01 3.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.023886560648147787e-02 -3.589205254629629274e-03 1.297385668981481180e-02
2.100000000000000000e+01 3.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.640609082407407104e-02 -2.460783773148147741e-03 1.287200029166666627e-02
2.200000000000000000e+01 4.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.365873893518517221e-03 -2.946666587962963168e-03 9.670290958333332618e-03
2.300000000000000000e+01 4.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.483969462962962801e-03 -3.069731648148148022e-03 6.103969490740739599e-03
2.400000000000000000e+01 4.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.270993333333332954e-03 -2.314521083333333229e-03 3.457618222222221503e-03
2.500000000000000000e+01 4.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.725459101851851560e-03 -1.274360949074073660e-03 1.745574527777777815e-03
2.600000000000000000e+01 4.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.157716685185184889e-03 -2.777872685185184438e-04 2.524969074074074086e-04
2.700000000000000000e+01 5.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.588211388888888503e-04 -1.504354166666666765e-05 -1.297871296296296311e-05
2.800000000000000000e+01 -2.324620116999999819e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 3.746459074074072991e-04 4.978384074074073025e-04 -3.156877777777777043e-05
2.900000000000000000e+01 -3.246201169999998193e-01 -8.568300780000002170e-01 -2.250000000000000000e+00 2.846168629629629299e-03 4.745357189814814435e-03 1.879889861111110787e-04
3.000000000000000000e+01 1.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 5.575842726851850534e-03 9.468512166666666688e-03 1.004088611111111137e-03
3.100000000000000000e+01 3.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 8.294933032407407481e-03 1.595671947685185083e-02 3.555623986111110246e-03
3.200000000000000000e+01 5.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 8.845420152777776213e-03 2.272017914351851312e-02 8.409643208333332856e-03
3.300000000000000000e+01 7.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 7.853071097222222990e-03 2.511214524074073876e-02 1.459791920833333062e-02
3.400000000000000000e+01 9.675379882999999737e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 1.106396852314815021e-02 1.743097853240740611e-02 2.016257403703703571e-02
3.500000000000000000e+01 1.167537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.188628987037037080e-02 1.114691595370370138e-02 2.259997854629629266e-02
3.600000000000000000e+01 1.367537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.145712606944444475e-02 9.926980953703701260e-03 1.971224499537036629e-02
3.700000000000000000e+01 1.567537988299999974e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 1.047694869444444100e-02 4.543605481481480593e-03 1.395552730555555364e-02
3.800000000000000000e+01 1.767537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 6.677683185185183390e-03 -3.727116574074073371e-04 1.008693053703703726e-02
3.900000000000000000e+01 1.967537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.152147050925925932e-03 1.285853561111110696e-02 6.529606689814813208e-03
4.000000000000000000e+01 2.167537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.520456401388888878e-02 5.207863052777778057e-02 -2.543492981481480786e-03
4.100000000000000000e+01 2.367537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.545139610648147449e-02 9.088563897222219634e-02 -1.067644979166666556e-02
4.200000000000000000e+01 2.567537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -5.434603323611109094e-02 1.022226914537036901e-01 -1.044506270833333098e-02
4.300000000000000000e+01 2.767537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.803033154629628154e-02 7.466687818055553483e-02 -2.545769657407407401e-03
4.400000000000000000e+01 2.967537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -4.152047174074073588e-02 2.954892602314814279e-02 4.184089699074073146e-03
4.500000000000000000e+01 3.167537988300000151e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -3.916174395833332822e-02 -4.064217587962961481e-03 1.003941778703703464e-02
4.600000000000000000e+01 3.367537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -3.781686524074073796e-02 -1.600994712962962654e-02 1.555399798148147938e-02
4.700000000000000000e+01 3.567537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -3.155151573148147481e-02 -1.257411935648147967e-02 1.823208476388888527e-02
4.800000000000000000e+01 3.767537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -2.421421010648147631e-02 -6.249374319444443368e-03 1.910861086111111107e-02
4.900000000000000000e+01 3.967537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -1.393330868055555304e-02 1.085948240740746557e-04 1.651960946759259072e-02
5.000000000000000000e+01 4.167537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 -5.766497083333327854e-04 2.320141273148149021e-03 1.154651037037036920e-02
5.100000000000000000e+01 4.367537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 6.879235953703703721e-03 1.895444074074073950e-03 8.588459944444442468e-03
5.200000000000000000e+01 4.567537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 9.568947314814816099e-03 1.571371819444444167e-03 6.455631296296296395e-03
5.300000000000000000e+01 4.767537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 7.631897749999999071e-03 7.836184027777779587e-04 4.109405166666666581e-03
5.400000000000000000e+01 4.967537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 2.503229888888887887e-03 -4.782506481481482133e-05 9.200385833333332188e-04
5.500000000000000000e+01 5.167537988299999796e+01 -8.568300780000002170e-01 -2.250000000000000000e+00 2.740047407407406651e-04 -4.583623148148148420e-05 4.274137037037036886e-05
5.600000000000000000e+01 -2.324620116999999819e+00 1.143169921999999783e+00 -2.250000000000000000e+00 2.476256018518517912e-04 5.456103425925925079e-04 -2.357867592592592803e-05
