#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 1.375325370370370165e-04 1.603253333333333279e-04 -3.747620370370369718e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.161629268518518599e-03 1.575125777777777649e-03 -6.322215046296295092e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.949129861111110376e-03 2.887601754629629675e-03 -1.512039148148148007e-03
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 5.703787356481480712e-03 4.085116462962961985e-03 -3.487451291666665565e-03
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 9.465700162037035334e-03 5.794788777777776581e-03 -6.684578115740739956e-03
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 1.600433684259259387e-02 8.176499064814813506e-03 -1.025424456481481214e-02
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 1.369783130092592366e-02 5.738403319444442680e-03 -1.243566772222222047e-02
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 8.969403439814813833e-03 -5.460785833333336482e-04 -1.190711498611110933e-02
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 7.826255555555553661e-03 -8.447313578703702711e-03 -8.926615606481480211e-03
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 9.056667675925925490e-03 -1.458075014351851648e-02 -5.575704787037035273e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.148731017129629717e-02 -1.428193567129629540e-02 -4.135648814814814160e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.242267692129629328e-02 -1.386150129629629482e-02 -4.690983768518517186e-03
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 9.802326351851849834e-03 -1.094600952777777768e-02 -6.048566097222221605e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.626913912037035989e-03 -1.228615643055555075e-02 -7.245903152777777127e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 6.749909587962961421e-03 -2.240227276388888009e-02 -6.979972254629628232e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.058310278703703519e-02 -3.213078624537035743e-02 -6.020812685185183283e-03
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.980574625462962549e-02 -3.357357578240740409e-02 -6.119310060185184294e-03
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.712312151388888787e-02 -3.029299501388888621e-02 -6.334948615740740481e-03
1.800000000000000000e+01 3.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.951437804629629208e-02 -2.609346780092592147e-02 -5.861334930555554650e-03
1.900000000000000000e+01 3.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.459888356018518143e-02 -2.089463646759258733e-02 -5.187165879629629210e-03
2.000000000000000000e+01 3.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.900129061574073866e-02 -1.501428788425925552e-02 -5.083849935185184160e-03
2.100000000000000000e+01 3.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.870720508796295936e-02 -9.915262624999997276e-03 -4.514722935185185027e-03
2.200000000000000000e+01 4.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.211920201851851411e-02 -7.301354967592593205e-03 -2.009340722222221782e-03
2.300000000000000000e+01 4.367537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.420694739351851393e-02 -5.962243097222221476e-03 3.310781481481479957e-04
2.400000000000000000e+01 4.567537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 8.083082101851851720e-03 -4.583534277777776694e-03 1.178621296296296231e-03
2.500000000000000000e+01 4.767537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.970544833333333225e-03 -2.947685180555554684e-03 8.697884907407404985e-04
2.600000000000000000e+01 4.967537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.659816481481481035e-04 -8.074308657407406383e-04 2.479450740740740352e-04
2.700000000000000000e+01 5.167537988299999796e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.360666944444444213e-04 -6.965000925925925179e-05 2.345330555555554553e-05
2.800000000000000000e+01 -2.324620116999999819e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 2.181819444444386340e-06 3.053741666666666540e-04 -7.213393981481480634e-05
2.900000000000000000e+01 -3.246201169999998193e-01 -8.568300780000002170e-01 -2.250000000000000000e+00 2.955013643518518245e-03 3.471176643518517849e-03 -1.337150041666666268e-03
3.000000000000000000e+01 1.675379883000000181e+00 -8.568300780000002170e-01 -2.250000000000000000e+00 5.699351319444444057e-03 6.879377064814813994e-03 -3.267682541666666433e-03
