#pointID x y z u v w
0.000000000000000000e+00 -2.324620116999999819e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 2.030847129629629146e-04 1.883655925925925806e-04 -1.281671759259259178e-05
1.000000000000000000e+00 -3.246201169999998193e-01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.590754949074073884e-03 2.158197504629629036e-03 -1.679437870370370110e-04
2.000000000000000000e+00 1.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 2.539249916666666551e-03 4.300561106481481238e-03 -3.080625787037036701e-04
3.000000000000000000e+00 3.675379883000000181e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 2.725877629629629064e-03 6.994527550925925055e-03 -2.404443425925924824e-04
4.000000000000000000e+00 5.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.100422490740739959e-03 1.086011701388888730e-02 -6.525125000000038598e-06
5.000000000000000000e+00 7.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 3.741847208333333626e-03 1.458634150462962548e-02 2.902167175925924854e-04
6.000000000000000000e+00 9.675379882999999737e+00 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.119309912037037011e-03 1.248631167592592454e-02 9.325457175925924540e-04
7.000000000000000000e+00 1.167537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -6.565620689814814087e-03 6.781077333333333096e-03 1.008401013888888652e-03
8.000000000000000000e+00 1.367537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -8.081213944444444811e-03 1.468163111111110523e-03 -1.335224953703704424e-04
9.000000000000000000e+00 1.567537988299999974e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -7.712619222222221078e-03 -3.955673041666666473e-03 -2.428999907407406855e-03
1.000000000000000000e+01 1.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -3.824561333333332917e-03 -1.143773462499999768e-02 -2.740287287037036605e-03
1.100000000000000000e+01 1.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 8.032814212962963336e-04 -1.044444870370370322e-02 3.576015541666665611e-03
1.200000000000000000e+01 2.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 1.970084504629629300e-03 -7.854469824074072209e-03 9.027757453703700447e-03
1.300000000000000000e+01 2.367537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 2.739280462962958955e-04 -5.887893740740739526e-03 8.819324837962962821e-03
1.400000000000000000e+01 2.567537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.037156078703703292e-03 -7.093112249999999376e-03 7.129680620370369010e-03
1.500000000000000000e+01 2.767537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 3.783876064814813492e-04 -1.592454383796296224e-02 6.649785518518518124e-03
1.600000000000000000e+01 2.967537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -1.540538055555554990e-04 -1.810722711111110994e-02 4.754311842592591833e-03
1.700000000000000000e+01 3.167537988300000151e+01 -2.856830078000000217e+00 -2.250000000000000000e+00 -2.431825620370369964e-03 -1.392778094907407352e-02 2.069269342592592632e-03
